Marka auta,Ilosc sprzedanych aut,Wojewodztwo
Fiat,1,warmińsko-mazurskie
Toyota,20,podkarpackie
Fiat,10,podkarpackie
Ford,8,kujawsko-pomorskie
Honda,17,lubelskie
Fiat,0,zachodniopomorskie
Honda,1,podlaskie
Bmw,17,podlaskie
Volkswagen,20,pomorskie
Fiat,17,mazowieckie
Skoda,17,podkarpackie
Bmw,9,małopolskie
Volkswagen,7,małopolskie
Volkswagen,5,śląskie
Audi,16,mazowieckie
Bmw,11,łódzkie
Mercedes,19,zachodniopomorskie
Ford,3,łódzkie
Mercedes,13,lubuskie
Fiat,0,zachodniopomorskie
Skoda,2,podkarpackie
Toyota,7,śląskie
Toyota,15,zachodniopomorskie
Volkswagen,9,dolnośląskie
Fiat,18,wielkopolskie
Toyota,17,podlaskie
Bmw,0,kujawsko-pomorskie
Mercedes,9,mazowieckie
Toyota,4,małopolskie
Seat,2,warmińsko-mazurskie
Honda,5,śląskie
Skoda,17,śląskie
Honda,14,warmińsko-mazurskie
Volkswagen,18,pomorskie
Bmw,17,mazowieckie
Toyota,18,wielkopolskie
Volkswagen,7,kujawsko-pomorskie
Bmw,19,wielkopolskie
Honda,17,dolnośląskie
Fiat,1,świętokrzyskie
Ford,18,śląskie
Toyota,13,opolskie
Volkswagen,1,zachodniopomorskie
Fiat,14,świętokrzyskie
Toyota,1,mazowieckie
Fiat,3,mazowieckie
Bmw,12,lubuskie
Seat,1,mazowieckie
Toyota,15,łódzkie
Bmw,16,mazowieckie
Volkswagen,6,podkarpackie
Toyota,17,małopolskie
Bmw,18,lubuskie
Volkswagen,4,pomorskie
Ford,16,dolnośląskie
Seat,3,dolnośląskie
Honda,0,pomorskie
Fiat,1,lubuskie
Bmw,12,śląskie
Seat,6,zachodniopomorskie
Seat,12,małopolskie
Fiat,14,śląskie
Volkswagen,5,kujawsko-pomorskie
Bmw,1,świętokrzyskie
Seat,8,dolnośląskie
Bmw,15,świętokrzyskie
Bmw,12,warmińsko-mazurskie
Seat,12,kujawsko-pomorskie
Seat,20,wielkopolskie
Toyota,20,lubuskie
Toyota,2,opolskie
Audi,4,śląskie
Mercedes,2,pomorskie
Seat,8,warmińsko-mazurskie
Fiat,14,pomorskie
Volkswagen,10,łódzkie
Toyota,12,świętokrzyskie
Seat,17,pomorskie
Honda,12,małopolskie
Skoda,15,lubelskie
Toyota,10,podkarpackie
Ford,14,lubelskie
Skoda,10,dolnośląskie
Ford,12,lubuskie
Audi,0,łódzkie
Fiat,8,dolnośląskie
Fiat,0,łódzkie
Audi,9,mazowieckie
Ford,15,pomorskie
Seat,15,podkarpackie
Volkswagen,0,dolnośląskie
Audi,4,lubelskie
Mercedes,11,pomorskie
Ford,2,podkarpackie
Audi,17,mazowieckie
Bmw,9,śląskie
Honda,19,lubelskie
Mercedes,1,pomorskie
Toyota,5,opolskie
Fiat,3,wielkopolskie
Bmw,15,śląskie
Fiat,17,podlaskie
Skoda,3,podlaskie
Honda,20,opolskie
Honda,13,mazowieckie
Ford,7,łódzkie
Bmw,13,podkarpackie
Audi,7,śląskie
Audi,10,lubuskie
Toyota,18,łódzkie
Seat,10,pomorskie
Fiat,0,podlaskie
Fiat,2,lubuskie
Fiat,6,podkarpackie
Ford,12,podlaskie
Toyota,1,opolskie
Honda,4,mazowieckie
Skoda,3,lubelskie
Bmw,8,lubelskie
Fiat,15,zachodniopomorskie
Ford,19,podkarpackie
Fiat,12,świętokrzyskie
Volkswagen,11,lubuskie
Bmw,10,świętokrzyskie
Volkswagen,8,wielkopolskie
Fiat,11,warmińsko-mazurskie
Mercedes,1,pomorskie
Honda,7,pomorskie
Fiat,15,zachodniopomorskie
Volkswagen,9,wielkopolskie
Ford,4,dolnośląskie
Volkswagen,11,opolskie
Volkswagen,10,warmińsko-mazurskie
Toyota,20,lubuskie
Honda,12,łódzkie
Honda,20,podkarpackie
Mercedes,0,dolnośląskie
Bmw,13,dolnośląskie
Honda,11,lubelskie
Audi,9,pomorskie
Seat,12,świętokrzyskie
Audi,11,zachodniopomorskie
Toyota,14,warmińsko-mazurskie
Mercedes,16,dolnośląskie
Bmw,3,świętokrzyskie
Skoda,6,łódzkie
Volkswagen,14,mazowieckie
Bmw,19,opolskie
Skoda,3,łódzkie
Volkswagen,17,wielkopolskie
Seat,17,mazowieckie
Toyota,13,łódzkie
Skoda,12,zachodniopomorskie
Honda,12,świętokrzyskie
Bmw,2,wielkopolskie
Mercedes,5,pomorskie
Seat,2,mazowieckie
Skoda,13,łódzkie
Honda,6,mazowieckie
Bmw,14,świętokrzyskie
Bmw,11,lubuskie
Fiat,14,mazowieckie
Mercedes,13,małopolskie
Volkswagen,8,lubelskie
Skoda,13,warmińsko-mazurskie
Seat,9,mazowieckie
Volkswagen,16,warmińsko-mazurskie
Volkswagen,6,łódzkie
Honda,12,śląskie
Fiat,20,podlaskie
Bmw,9,małopolskie
Honda,5,podlaskie
Skoda,7,świętokrzyskie
Honda,6,podkarpackie
Seat,8,opolskie
Mercedes,5,śląskie
Skoda,14,opolskie
Mercedes,4,warmińsko-mazurskie
Fiat,0,wielkopolskie
Honda,1,kujawsko-pomorskie
Toyota,12,małopolskie
Audi,11,śląskie
Volkswagen,11,opolskie
Skoda,9,zachodniopomorskie
Audi,17,warmińsko-mazurskie
Skoda,4,lubuskie
Bmw,14,kujawsko-pomorskie
Bmw,5,mazowieckie
Honda,13,lubelskie
Toyota,6,opolskie
Bmw,13,warmińsko-mazurskie
Audi,12,dolnośląskie
Honda,8,łódzkie
Audi,4,podkarpackie
Volkswagen,8,lubuskie
Mercedes,10,małopolskie
Toyota,6,śląskie
Volkswagen,20,warmińsko-mazurskie
Honda,10,świętokrzyskie
Volkswagen,11,opolskie
Volkswagen,9,łódzkie
Bmw,2,podkarpackie
Volkswagen,6,mazowieckie
Volkswagen,10,małopolskie
Fiat,9,warmińsko-mazurskie
Bmw,7,świętokrzyskie
Audi,14,łódzkie
Volkswagen,7,wielkopolskie
Bmw,9,łódzkie
Mercedes,16,śląskie
Honda,12,kujawsko-pomorskie
Skoda,9,mazowieckie
Mercedes,18,podlaskie
Bmw,3,mazowieckie
Toyota,16,mazowieckie
Honda,13,zachodniopomorskie
Bmw,4,małopolskie
Skoda,11,dolnośląskie
Seat,20,zachodniopomorskie
Volkswagen,11,lubelskie
Volkswagen,19,pomorskie
Audi,1,śląskie
Volkswagen,19,dolnośląskie
Bmw,15,warmińsko-mazurskie
Honda,15,podkarpackie
Volkswagen,5,warmińsko-mazurskie
Seat,10,małopolskie
Volkswagen,1,lubelskie
Audi,9,zachodniopomorskie
Honda,5,podkarpackie
Fiat,18,dolnośląskie
Skoda,1,kujawsko-pomorskie
Volkswagen,16,świętokrzyskie
Ford,12,pomorskie
Bmw,6,łódzkie
Audi,4,małopolskie
Bmw,20,podlaskie
Fiat,0,kujawsko-pomorskie
Mercedes,17,zachodniopomorskie
Bmw,2,lubelskie
Honda,3,lubuskie
Skoda,18,śląskie
Skoda,14,pomorskie
Skoda,1,podkarpackie
Ford,15,pomorskie
Skoda,13,dolnośląskie
Toyota,5,mazowieckie
Seat,15,pomorskie
Ford,12,pomorskie
Bmw,15,podkarpackie
Volkswagen,17,lubuskie
Ford,18,kujawsko-pomorskie
Fiat,0,wielkopolskie
Fiat,11,śląskie
Skoda,9,lubelskie
Skoda,20,małopolskie
Fiat,2,zachodniopomorskie
Bmw,18,warmińsko-mazurskie
Fiat,18,zachodniopomorskie
Seat,13,pomorskie
Toyota,7,mazowieckie
Ford,9,podlaskie
Fiat,14,łódzkie
Skoda,19,podkarpackie
Volkswagen,2,opolskie
Fiat,12,lubelskie
Skoda,19,świętokrzyskie
Honda,11,pomorskie
Mercedes,13,śląskie
Seat,14,kujawsko-pomorskie
Mercedes,6,podkarpackie
Skoda,10,lubuskie
Seat,19,śląskie
Honda,6,warmińsko-mazurskie
Seat,19,kujawsko-pomorskie
Skoda,16,małopolskie
Seat,15,zachodniopomorskie
Honda,7,śląskie
Toyota,3,opolskie
Volkswagen,15,świętokrzyskie
Skoda,9,lubuskie
Volkswagen,20,opolskie
Toyota,4,dolnośląskie
Fiat,16,pomorskie
Audi,13,śląskie
Ford,0,podlaskie
Ford,17,świętokrzyskie
Honda,7,małopolskie
Mercedes,1,pomorskie
Audi,15,pomorskie
Ford,0,zachodniopomorskie
Ford,1,kujawsko-pomorskie
Fiat,8,łódzkie
Ford,19,łódzkie
Seat,4,pomorskie
Volkswagen,18,podlaskie
Toyota,6,mazowieckie
Volkswagen,3,wielkopolskie
Mercedes,18,opolskie
Toyota,13,mazowieckie
Ford,11,warmińsko-mazurskie
Seat,20,śląskie
Mercedes,9,małopolskie
Seat,7,pomorskie
Skoda,9,mazowieckie
Skoda,9,podkarpackie
Skoda,8,wielkopolskie
Fiat,3,opolskie
Seat,12,podlaskie
Ford,19,dolnośląskie
Fiat,17,lubelskie
Honda,13,dolnośląskie
Toyota,2,podkarpackie
Fiat,9,dolnośląskie
Honda,9,zachodniopomorskie
Ford,3,zachodniopomorskie
Honda,18,podlaskie
Mercedes,14,zachodniopomorskie
Skoda,20,łódzkie
Fiat,7,łódzkie
Seat,14,wielkopolskie
Mercedes,5,mazowieckie
Ford,12,kujawsko-pomorskie
Audi,14,opolskie
Volkswagen,14,zachodniopomorskie
Bmw,9,wielkopolskie
Ford,5,lubuskie
Audi,8,podkarpackie
Honda,16,pomorskie
Volkswagen,2,świętokrzyskie
Toyota,12,opolskie
Seat,17,małopolskie
Honda,16,łódzkie
Toyota,3,podkarpackie
Volkswagen,13,kujawsko-pomorskie
Ford,1,śląskie
Skoda,16,pomorskie
Toyota,15,wielkopolskie
Audi,13,lubelskie
Ford,10,wielkopolskie
Bmw,0,podlaskie
Skoda,14,małopolskie
Bmw,20,pomorskie
Mercedes,19,świętokrzyskie
Volkswagen,16,opolskie
Fiat,17,zachodniopomorskie
Bmw,14,wielkopolskie
Toyota,17,świętokrzyskie
Audi,17,kujawsko-pomorskie
Volkswagen,1,podlaskie
Honda,15,podkarpackie
Skoda,12,dolnośląskie
Skoda,8,podlaskie
Mercedes,18,mazowieckie
Audi,5,śląskie
Skoda,16,podlaskie
Volkswagen,9,podkarpackie
Skoda,10,podkarpackie
Volkswagen,16,lubuskie
Honda,13,małopolskie
Toyota,4,kujawsko-pomorskie
Ford,16,lubelskie
Audi,6,śląskie
Audi,20,łódzkie
Bmw,4,lubuskie
Honda,10,śląskie
Volkswagen,5,podlaskie
Ford,3,zachodniopomorskie
Fiat,16,warmińsko-mazurskie
Bmw,11,mazowieckie
Fiat,12,śląskie
Honda,4,zachodniopomorskie
Bmw,15,podlaskie
Bmw,20,lubelskie
Skoda,0,lubuskie
Audi,17,lubuskie
Mercedes,15,zachodniopomorskie
Mercedes,7,kujawsko-pomorskie
Skoda,15,podlaskie
Fiat,14,lubelskie
Toyota,2,opolskie
Ford,2,wielkopolskie
Skoda,6,warmińsko-mazurskie
Bmw,3,śląskie
Mercedes,0,opolskie
Mercedes,10,kujawsko-pomorskie
Seat,17,opolskie
Fiat,19,opolskie
Ford,5,wielkopolskie
Bmw,16,mazowieckie
Honda,5,opolskie
Skoda,5,warmińsko-mazurskie
Fiat,16,kujawsko-pomorskie
Seat,18,wielkopolskie
Seat,16,łódzkie
Fiat,18,podlaskie
Mercedes,15,podkarpackie
Mercedes,9,dolnośląskie
Fiat,20,zachodniopomorskie
Audi,5,kujawsko-pomorskie
Honda,11,lubuskie
Volkswagen,3,pomorskie
Toyota,1,wielkopolskie
Audi,12,podkarpackie
Ford,8,świętokrzyskie
Ford,12,małopolskie
Honda,6,śląskie
Bmw,16,lubelskie
Mercedes,6,warmińsko-mazurskie
Bmw,14,małopolskie
Audi,16,małopolskie
Ford,19,kujawsko-pomorskie
Audi,8,podlaskie
Toyota,12,świętokrzyskie
Ford,13,mazowieckie
Ford,0,śląskie
Honda,4,zachodniopomorskie
Toyota,6,małopolskie
Fiat,6,podlaskie
Volkswagen,16,dolnośląskie
Skoda,9,zachodniopomorskie
Honda,16,lubuskie
Fiat,3,mazowieckie
Toyota,12,podkarpackie
Skoda,18,świętokrzyskie
Seat,13,podlaskie
Skoda,2,łódzkie
Ford,20,podlaskie
Toyota,7,śląskie
Seat,2,śląskie
Volkswagen,15,podkarpackie
Ford,10,zachodniopomorskie
Honda,7,wielkopolskie
Skoda,19,dolnośląskie
Toyota,8,lubelskie
Ford,15,warmińsko-mazurskie
Bmw,18,lubelskie
Volkswagen,7,kujawsko-pomorskie
Volkswagen,4,dolnośląskie
Audi,8,małopolskie
Skoda,20,wielkopolskie
Fiat,3,podlaskie
Ford,11,lubuskie
Audi,12,śląskie
Honda,5,zachodniopomorskie
Fiat,17,podlaskie
Volkswagen,13,podkarpackie
Fiat,15,lubelskie
Toyota,19,pomorskie
Fiat,5,mazowieckie
Skoda,19,podkarpackie
Skoda,14,świętokrzyskie
Volkswagen,3,świętokrzyskie
Ford,12,śląskie
Honda,0,lubelskie
Volkswagen,6,świętokrzyskie
Fiat,14,zachodniopomorskie
Fiat,1,śląskie
Honda,8,pomorskie
Mercedes,7,podlaskie
Skoda,18,kujawsko-pomorskie
Bmw,11,warmińsko-mazurskie
Audi,6,pomorskie
Toyota,5,lubelskie
Honda,10,śląskie
Mercedes,12,pomorskie
Seat,20,pomorskie
Skoda,17,łódzkie
Fiat,12,podkarpackie
Volkswagen,6,śląskie
Seat,0,pomorskie
Honda,20,lubuskie
Fiat,12,lubelskie
Mercedes,6,warmińsko-mazurskie
Fiat,9,świętokrzyskie
Honda,10,kujawsko-pomorskie
Mercedes,11,wielkopolskie
Bmw,6,zachodniopomorskie
Toyota,4,warmińsko-mazurskie
Volkswagen,16,śląskie
Mercedes,0,łódzkie
Toyota,0,mazowieckie
Honda,19,podkarpackie
Skoda,13,małopolskie
Volkswagen,10,świętokrzyskie
Honda,4,pomorskie
Mercedes,12,opolskie
Mercedes,8,wielkopolskie
Skoda,2,opolskie
Audi,11,śląskie
Fiat,16,warmińsko-mazurskie
Bmw,12,śląskie
Seat,19,śląskie
Seat,7,świętokrzyskie
Seat,11,dolnośląskie
Seat,19,pomorskie
Seat,0,podlaskie
Audi,12,podkarpackie
Honda,17,opolskie
Audi,15,pomorskie
Skoda,1,zachodniopomorskie
Honda,1,podlaskie
Fiat,9,lubuskie
Fiat,14,mazowieckie
Honda,2,łódzkie
Bmw,15,śląskie
Toyota,3,świętokrzyskie
Toyota,15,opolskie
Ford,8,świętokrzyskie
Ford,15,opolskie
Ford,10,dolnośląskie
Ford,4,małopolskie
Fiat,4,łódzkie
Volkswagen,4,podlaskie
Ford,2,lubelskie
Volkswagen,17,podlaskie
Fiat,0,podkarpackie
Seat,3,kujawsko-pomorskie
Seat,11,podkarpackie
Fiat,8,podkarpackie
Mercedes,3,małopolskie
Ford,3,lubuskie
Bmw,10,podkarpackie
Bmw,0,dolnośląskie
Seat,18,dolnośląskie
Skoda,12,śląskie
Volkswagen,4,warmińsko-mazurskie
Seat,5,świętokrzyskie
Seat,8,podkarpackie
Mercedes,20,dolnośląskie
Audi,1,lubelskie
Ford,0,lubelskie
Ford,8,świętokrzyskie
Fiat,13,wielkopolskie
Mercedes,19,podkarpackie
Skoda,14,kujawsko-pomorskie
Bmw,8,podkarpackie
Honda,1,opolskie
Ford,6,mazowieckie
Fiat,12,pomorskie
Seat,12,wielkopolskie
Bmw,17,łódzkie
Toyota,3,pomorskie
Audi,4,opolskie
Seat,19,wielkopolskie
Audi,0,lubuskie
Honda,17,dolnośląskie
Honda,8,dolnośląskie
Toyota,11,zachodniopomorskie
Ford,1,śląskie
Audi,0,dolnośląskie
Fiat,9,świętokrzyskie
Mercedes,4,kujawsko-pomorskie
Bmw,1,dolnośląskie
Seat,20,śląskie
Mercedes,15,warmińsko-mazurskie
Ford,15,warmińsko-mazurskie
Audi,18,pomorskie
Seat,8,opolskie
Volkswagen,12,opolskie
Ford,7,łódzkie
Fiat,15,śląskie
Toyota,4,wielkopolskie
Fiat,20,lubelskie
Seat,14,śląskie
Toyota,19,łódzkie
Ford,14,dolnośląskie
Toyota,12,wielkopolskie
Audi,8,kujawsko-pomorskie
Seat,1,pomorskie
Mercedes,11,małopolskie
Honda,13,śląskie
Ford,1,warmińsko-mazurskie
Volkswagen,0,zachodniopomorskie
Toyota,17,pomorskie
Seat,4,kujawsko-pomorskie
Bmw,18,warmińsko-mazurskie
Volkswagen,2,świętokrzyskie
Seat,5,kujawsko-pomorskie
Skoda,5,podkarpackie
Fiat,0,dolnośląskie
Volkswagen,10,lubelskie
Toyota,12,wielkopolskie
Skoda,13,świętokrzyskie
Seat,11,lubuskie
Bmw,12,mazowieckie
Honda,4,podlaskie
Ford,4,lubuskie
Fiat,7,podkarpackie
Bmw,0,mazowieckie
Volkswagen,0,wielkopolskie
Skoda,7,kujawsko-pomorskie
Honda,10,śląskie
Audi,1,warmińsko-mazurskie
Mercedes,12,kujawsko-pomorskie
Toyota,7,śląskie
Toyota,5,świętokrzyskie
Volkswagen,9,dolnośląskie
Volkswagen,18,lubelskie
Toyota,6,opolskie
Audi,17,lubuskie
Toyota,15,śląskie
Bmw,14,śląskie
Seat,15,lubuskie
Mercedes,20,łódzkie
Honda,17,lubuskie
Audi,19,podlaskie
Volkswagen,9,warmińsko-mazurskie
Ford,2,podlaskie
Fiat,0,zachodniopomorskie
Ford,10,dolnośląskie
Honda,15,dolnośląskie
Ford,1,podlaskie
Toyota,8,podlaskie
Audi,9,łódzkie
Ford,15,podkarpackie
Ford,19,śląskie
Audi,17,warmińsko-mazurskie
Honda,8,dolnośląskie
Honda,0,małopolskie
Ford,11,pomorskie
Ford,3,kujawsko-pomorskie
Toyota,12,pomorskie
Skoda,14,małopolskie
Mercedes,7,zachodniopomorskie
Fiat,0,lubuskie
Audi,13,podkarpackie
Mercedes,9,podlaskie
Skoda,3,świętokrzyskie
Skoda,5,kujawsko-pomorskie
Mercedes,6,wielkopolskie
Honda,15,podlaskie
Seat,10,pomorskie
Audi,3,świętokrzyskie
Bmw,17,wielkopolskie
Audi,1,lubelskie
Ford,20,lubelskie
Honda,2,podkarpackie
Seat,15,łódzkie
Audi,17,lubelskie
Skoda,12,opolskie
Audi,16,wielkopolskie
Ford,4,zachodniopomorskie
Toyota,7,warmińsko-mazurskie
Audi,8,zachodniopomorskie
Seat,1,kujawsko-pomorskie
Ford,8,podlaskie
Honda,12,świętokrzyskie
Fiat,16,kujawsko-pomorskie
Skoda,12,pomorskie
Volkswagen,18,podkarpackie
Fiat,1,wielkopolskie
Seat,0,śląskie
Audi,19,podkarpackie
Honda,15,dolnośląskie
Toyota,20,świętokrzyskie
Mercedes,15,świętokrzyskie
Volkswagen,14,wielkopolskie
Fiat,12,dolnośląskie
Honda,6,warmińsko-mazurskie
Audi,8,lubelskie
Skoda,14,podkarpackie
Seat,13,małopolskie
Honda,1,kujawsko-pomorskie
Fiat,18,zachodniopomorskie
Volkswagen,2,podlaskie
Mercedes,15,małopolskie
Honda,3,lubuskie
Ford,14,lubelskie
Bmw,20,mazowieckie
Seat,4,wielkopolskie
Ford,4,podkarpackie
Fiat,15,dolnośląskie
Volkswagen,3,zachodniopomorskie
Fiat,15,lubelskie
Ford,7,małopolskie
Toyota,7,zachodniopomorskie
Volkswagen,18,łódzkie
Volkswagen,17,lubelskie
Skoda,0,pomorskie
Seat,17,dolnośląskie
Ford,10,opolskie
Mercedes,15,wielkopolskie
Fiat,13,kujawsko-pomorskie
Honda,9,opolskie
Mercedes,12,małopolskie
Seat,0,lubelskie
Fiat,5,podlaskie
Fiat,12,lubuskie
Honda,15,zachodniopomorskie
Audi,19,wielkopolskie
Mercedes,10,opolskie
Mercedes,14,zachodniopomorskie
Honda,13,podlaskie
Volkswagen,13,małopolskie
Fiat,5,kujawsko-pomorskie
Bmw,6,kujawsko-pomorskie
Mercedes,18,podkarpackie
Mercedes,17,łódzkie
Bmw,5,lubuskie
Skoda,19,dolnośląskie
Toyota,18,małopolskie
Mercedes,1,kujawsko-pomorskie
Bmw,5,śląskie
Skoda,15,wielkopolskie
Fiat,16,zachodniopomorskie
Seat,5,lubelskie
Ford,11,mazowieckie
Fiat,8,wielkopolskie
Mercedes,1,lubuskie
Mercedes,15,warmińsko-mazurskie
Honda,3,opolskie
Toyota,17,podkarpackie
Toyota,6,opolskie
Skoda,1,kujawsko-pomorskie
Bmw,17,podkarpackie
Fiat,9,łódzkie
Volkswagen,8,małopolskie
Ford,9,dolnośląskie
Fiat,4,warmińsko-mazurskie
Ford,19,kujawsko-pomorskie
Mercedes,13,kujawsko-pomorskie
Seat,0,pomorskie
Volkswagen,17,pomorskie
Audi,5,dolnośląskie
Fiat,15,kujawsko-pomorskie
Audi,6,śląskie
Ford,15,małopolskie
Ford,20,lubelskie
Bmw,15,lubuskie
Bmw,0,kujawsko-pomorskie
Seat,16,lubuskie
Honda,8,opolskie
Honda,4,opolskie
Fiat,3,opolskie
Fiat,10,wielkopolskie
Ford,8,podlaskie
Toyota,8,lubuskie
Ford,15,śląskie
Fiat,6,warmińsko-mazurskie
Seat,12,pomorskie
Seat,0,pomorskie
Skoda,7,pomorskie
Bmw,19,śląskie
Toyota,2,mazowieckie
Audi,14,podlaskie
Mercedes,11,dolnośląskie
Fiat,11,wielkopolskie
Volkswagen,1,małopolskie
Fiat,17,mazowieckie
Bmw,20,łódzkie
Audi,17,śląskie
Ford,3,śląskie
Audi,7,podlaskie
Fiat,17,warmińsko-mazurskie
Skoda,12,podkarpackie
Mercedes,10,warmińsko-mazurskie
Volkswagen,18,warmińsko-mazurskie
Honda,10,lubelskie
Mercedes,19,dolnośląskie
Bmw,10,zachodniopomorskie
Audi,16,śląskie
Skoda,12,wielkopolskie
Fiat,2,łódzkie
Ford,8,opolskie
Seat,5,podkarpackie
Audi,9,śląskie
Honda,13,dolnośląskie
Bmw,1,lubelskie
Toyota,2,pomorskie
Seat,2,opolskie
Audi,0,łódzkie
Toyota,11,opolskie
Bmw,12,podlaskie
Volkswagen,12,podkarpackie
Skoda,13,lubuskie
Volkswagen,17,opolskie
Honda,18,wielkopolskie
Honda,13,podlaskie
Toyota,3,świętokrzyskie
Skoda,10,pomorskie
Skoda,2,małopolskie
Mercedes,2,warmińsko-mazurskie
Volkswagen,7,lubelskie
Ford,14,zachodniopomorskie
Volkswagen,17,kujawsko-pomorskie
Ford,17,pomorskie
Fiat,0,wielkopolskie
Toyota,15,lubuskie
Audi,10,łódzkie
Seat,1,świętokrzyskie
Honda,17,śląskie
Skoda,4,podlaskie
Mercedes,17,śląskie
Seat,8,pomorskie
Honda,3,łódzkie
Fiat,12,pomorskie
Seat,19,podkarpackie
Bmw,4,kujawsko-pomorskie
Honda,9,małopolskie
Fiat,2,łódzkie
Honda,3,kujawsko-pomorskie
Volkswagen,0,wielkopolskie
Skoda,17,mazowieckie
Toyota,6,łódzkie
Mercedes,10,pomorskie
Honda,9,warmińsko-mazurskie
Seat,8,lubuskie
Seat,13,podlaskie
Seat,7,zachodniopomorskie
Fiat,3,podlaskie
Skoda,20,opolskie
Skoda,3,podlaskie
Skoda,0,podkarpackie
Seat,19,zachodniopomorskie
Ford,18,podkarpackie
Seat,19,łódzkie
Audi,13,warmińsko-mazurskie
Skoda,9,kujawsko-pomorskie
Fiat,18,małopolskie
Ford,7,łódzkie
Bmw,20,łódzkie
Fiat,12,świętokrzyskie
Bmw,0,świętokrzyskie
Seat,6,mazowieckie
Mercedes,18,lubuskie
Audi,18,mazowieckie
Bmw,6,świętokrzyskie
Fiat,18,lubelskie
Mercedes,4,podlaskie
Toyota,14,mazowieckie
Audi,7,pomorskie
Honda,16,kujawsko-pomorskie
Bmw,7,wielkopolskie
Honda,16,dolnośląskie
Volkswagen,12,dolnośląskie
Volkswagen,2,podlaskie
Toyota,18,wielkopolskie
Mercedes,15,świętokrzyskie
Audi,11,warmińsko-mazurskie
Skoda,1,lubuskie
Skoda,20,pomorskie
Toyota,0,śląskie
Audi,9,świętokrzyskie
Honda,4,pomorskie
Audi,13,podkarpackie
Audi,5,mazowieckie
Honda,0,kujawsko-pomorskie
Skoda,14,pomorskie
Toyota,9,śląskie
Skoda,19,kujawsko-pomorskie
Skoda,5,podlaskie
Audi,4,lubelskie
Fiat,0,świętokrzyskie
Fiat,6,śląskie
Mercedes,10,lubuskie
Skoda,14,lubuskie
Honda,2,małopolskie
Volkswagen,18,lubelskie
Bmw,3,lubuskie
